initial_samples sample height tube remaining_vol
21 18 0.5 1 152.0
21 19 0.5 1 132.0
21 20 0.5 1 112.0
21 21 0.5 1 92.0
22 1 5.87 1 514.0
22 2 5.5 1 494.0
22 3 5.13 1 474.0
22 4 4.75 1 454.0
22 5 4.38 1 434.0
22 6 4.0 1 414.0
22 7 3.63 1 394.0
22 8 3.26 1 374.0
22 9 2.88 1 354.0
22 10 2.51 1 334.0
22 11 2.13 1 314.0
22 12 1.76 1 294.0
22 13 1.38 1 274.0
22 14 1.01 1 254.0
22 15 0.64 1 234.0
22 16 0.5 1 214.0
22 17 0.5 1 194.0
22 18 0.5 1 174.0
22 19 0.5 1 154.0
22 20 0.5 1 134.0
22 21 0.5 1 114.0
22 22 0.5 1 94.0
23 1 6.29 1 536.0
23 2 5.91 1 516.0
23 3 5.54 1 496.0
23 4 5.16 1 476.0
23 5 4.79 1 456.0
23 6 4.41 1 436.0
23 7 4.04 1 416.0
23 8 3.67 1 396.0
23 9 3.29 1 376.0
23 10 2.92 1 356.0
23 11 2.54 1 336.0
23 12 2.17 1 316.0
23 13 1.8 1 296.0
23 14 1.42 1 276.0
23 15 1.05 1 256.0
23 16 0.67 1 236.0
23 17 0.5 1 216.0
23 18 0.5 1 196.0
23 19 0.5 1 176.0
23 20 0.5 1 156.0
23 21 0.5 1 136.0
23 22 0.5 1 116.0
23 23 0.5 1 96.0
24 1 6.7 1 558.0
24 2 6.32 1 538.0
24 3 5.95 1 518.0
24 4 5.57 1 498.0
24 5 5.2 1 478.0
24 6 4.83 1 458.0
24 7 4.45 1 438.0
24 8 4.08 1 418.0
24 9 3.7 1 398.0
24 10 3.33 1 378.0
24 11 2.96 1 358.0
24 12 2.58 1 338.0
24 13 2.21 1 318.0
24 14 1.83 1 298.0
24 15 1.46 1 278.0
24 16 1.09 1 258.0
24 17 0.71 1 238.0
24 18 0.5 1 218.0
24 19 0.5 1 198.0
24 20 0.5 1 178.0
24 21 0.5 1 158.0
24 22 0.5 1 138.0
24 23 0.5 1 118.0
24 24 0.5 1 98.0
25 1 7.11 1 580.0
25 2 6.73 1 560.0
25 3 6.36 1 540.0
25 4 5.99 1 520.0
25 5 5.61 1 500.0
25 6 5.24 1 480.0
25 7 4.86 1 460.0
25 8 4.49 1 440.0
25 9 4.12 1 420.0
25 10 3.74 1 400.0
25 11 3.37 1 380.0
25 12 2.99 1 360.0
25 13 2.62 1 340.0
25 14 2.24 1 320.0
25 15 1.87 1 300.0
25 16 1.5 1 280.0
25 17 1.12 1 260.0
25 18 0.75 1 240.0
25 19 0.5 1 220.0
25 20 0.5 1 200.0
25 21 0.5 1 180.0
25 22 0.5 1 160.0
25 23 0.5 1 140.0
25 24 0.5 1 120.0
25 25 0.5 1 100.0
26 1 7.52 1 602.0
26 2 7.15 1 582.0
26 3 6.77 1 562.0
26 4 6.4 1 542.0
26 5 6.02 1 522.0
26 6 5.65 1 502.0
26 7 5.28 1 482.0
26 8 4.9 1 462.0
26 9 4.53 1 442.0
26 10 4.15 1 422.0
26 11 3.78 1 402.0
26 12 3.4 1 382.0
26 13 3.03 1 362.0
26 14 2.66 1 342.0
26 15 2.28 1 322.0
26 16 1.91 1 302.0
26 17 1.53 1 282.0
26 18 1.16 1 262.0
26 19 0.79 1 242.0
26 20 0.5 1 222.0
26 21 0.5 1 202.0
26 22 0.5 1 182.0
26 23 0.5 1 162.0
26 24 0.5 1 142.0
26 25 0.5 1 122.0
26 26 0.5 1 102.0
27 1 7.93 1 624.0
27 2 7.56 1 604.0
27 3 7.18 1 584.0
27 4 6.81 1 564.0
27 5 6.44 1 544.0
27 6 6.06 1 524.0
27 7 5.69 1 504.0
27 8 5.31 1 484.0
27 9 4.94 1 464.0
27 10 4.56 1 444.0
27 11 4.19 1 424.0
27 12 3.82 1 404.0
27 13 3.44 1 384.0
27 14 3.07 1 364.0
27 15 2.69 1 344.0
27 16 2.32 1 324.0
27 17 1.95 1 304.0
27 18 1.57 1 284.0
27 19 1.2 1 264.0
27 20 0.82 1 244.0
27 21 0.5 1 224.0
27 22 0.5 1 204.0
27 23 0.5 1 184.0
27 24 0.5 1 164.0
27 25 0.5 1 144.0
27 26 0.5 1 124.0
27 27 0.5 1 104.0
28 1 8.34 1 646.0
28 2 7.97 1 626.0
28 3 7.6 1 606.0
28 4 7.22 1 586.0
28 5 6.85 1 566.0
28 6 6.47 1 546.0
28 7 6.1 1 526.0
28 8 5.72 1 506.0
28 9 5.35 1 486.0
28 10 4.98 1 466.0
28 11 4.6 1 446.0
28 12 4.23 1 426.0
28 13 3.85 1 406.0
28 14 3.48 1 386.0
28 15 3.11 1 366.0
28 16 2.73 1 346.0
